"col0","col1","col2","col3","col4","col5"
"while (...) ...",4,577,581,"string_split","common/common.h"
"while (...) ...",4,562,566,"string_split","common/common.h"
"for(...;...;...) ...",2,48,56,"set_tool_call_ids","common/chat.h"
"if (...) ... ",3,49,54,"set_tool_call_ids","common/chat.h"
"if (...) ... ",1,51,52,"set_tool_call_ids","common/chat.h"
"if (...) ... ",4,18614,18622,"format_buffer","vendor/nlohmann/json.hpp"
"if (...) ... ",4,18626,18634,"format_buffer","vendor/nlohmann/json.hpp"
"if (...) ... ",5,18638,18646,"format_buffer","vendor/nlohmann/json.hpp"
"if (...) ... ",1,18650,18654,"format_buffer","vendor/nlohmann/json.hpp"
"if (...) ... ",3,18657,18663,"format_buffer","vendor/nlohmann/json.hpp"
"if (...) ... ",1,18559,18560,"append_exponent","vendor/nlohmann/json.hpp"
"if (...) ... ",2,18554,18556,"append_exponent","vendor/nlohmann/json.hpp"
"if (...) ... ",2,18565,18569,"append_exponent","vendor/nlohmann/json.hpp"
"if (...) ... ",3,18572,18575,"append_exponent","vendor/nlohmann/json.hpp"
"if (...) ... ",5,18578,18583,"append_exponent","vendor/nlohmann/json.hpp"
"while (...) ...",9,18272,18325,"grisu2_digit_gen","vendor/nlohmann/json.hpp"
"if (...) ... ",4,18305,18322,"grisu2_digit_gen","vendor/nlohmann/json.hpp"
"for(...;...;...) ...",11,18374,18411,"grisu2_digit_gen","vendor/nlohmann/json.hpp"
"if (...) ... ",1,18409,18410,"grisu2_digit_gen","vendor/nlohmann/json.hpp"
"while (...) ...",3,18196,18199,"grisu2_round","vendor/nlohmann/json.hpp"
"if (...) ... ",2,18116,18118,"find_largest_pow10","vendor/nlohmann/json.hpp"
"if (...) ... ",2,18122,18124,"find_largest_pow10","vendor/nlohmann/json.hpp"
"if (...) ... ",2,18127,18129,"find_largest_pow10","vendor/nlohmann/json.hpp"
"if (...) ... ",2,18132,18134,"find_largest_pow10","vendor/nlohmann/json.hpp"
"if (...) ... ",2,18137,18139,"find_largest_pow10","vendor/nlohmann/json.hpp"
"if (...) ... ",2,18142,18144,"find_largest_pow10","vendor/nlohmann/json.hpp"
"if (...) ... ",2,18147,18149,"find_largest_pow10","vendor/nlohmann/json.hpp"
"if (...) ... ",2,18152,18154,"find_largest_pow10","vendor/nlohmann/json.hpp"
"if (...) ... ",2,18157,18159,"find_largest_pow10","vendor/nlohmann/json.hpp"
"while (...) ...",2,17772,17774,"normalize","vendor/nlohmann/json.hpp"
"if (...) ... ",2,18692,18694,"to_chars","vendor/nlohmann/json.hpp"
"if (...) ... ",4,18702,18707,"to_chars","vendor/nlohmann/json.hpp"
"if (...) ... ",1,6921,6922,"input_adapter","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23979,23980,"operator>=","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23950,23951,"operator>","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23920,23921,"operator<=","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23894,23894,"operator<","vendor/nlohmann/json.hpp"
"switch (...) ... ",21,23894,23894,"operator<","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23894,23894,"operator<","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23894,23894,"operator<","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23894,23894,"operator<","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23894,23894,"operator<","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23894,23894,"operator<","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23894,23894,"operator<","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23894,23894,"operator<","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23863,23864,"operator!=","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23834,23834,"operator==","vendor/nlohmann/json.hpp"
"switch (...) ... ",21,23834,23834,"operator==","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23834,23834,"operator==","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23834,23834,"operator==","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23834,23834,"operator==","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23834,23834,"operator==","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23834,23834,"operator==","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23834,23834,"operator==","vendor/nlohmann/json.hpp"
"if (...) ... ",1,23834,23834,"operator==","vendor/nlohmann/json.hpp"
"if (...) ... ",1,19927,19928,"erase","vendor/nlohmann/json.hpp"
"for(...;...;...) ...",2,19955,19957,"erase","vendor/nlohmann/json.hpp"
"for(...;...;...) ...",1,19774,19778,"emplace","vendor/nlohmann/json.hpp"
"if (...) ... ",1,19776,19777,"emplace","vendor/nlohmann/json.hpp"
"if (...) ... ",1,15176,15177,"split","vendor/nlohmann/json.hpp"
"if (...) ... ",1,15182,15183,"split","vendor/nlohmann/json.hpp"
"for(...;...;...) ...",4,15201,15224,"split","vendor/nlohmann/json.hpp"
"for(...;...;...) ...",2,15210,15219,"split","vendor/nlohmann/json.hpp"
"if (...) ... ",1,15217,15218,"split","vendor/nlohmann/json.hpp"
"switch (...) ... ",19,24203,24222,"type_name","vendor/nlohmann/json.hpp"
"switch (...) ... ",14,23028,23053,"max_size","vendor/nlohmann/json.hpp"
"{ ... }",1,23030,23032,"max_size","vendor/nlohmann/json.hpp"
"{ ... }",1,23036,23038,"max_size","vendor/nlohmann/json.hpp"
"{ ... }",1,23050,23052,"max_size","vendor/nlohmann/json.hpp"
"switch (...) ... ",15,22989,23019,"size","vendor/nlohmann/json.hpp"
"{ ... }",1,22991,22993,"size","vendor/nlohmann/json.hpp"
"{ ... }",1,22997,22999,"size","vendor/nlohmann/json.hpp"
"{ ... }",1,23003,23005,"size","vendor/nlohmann/json.hpp"
"{ ... }",1,23016,23018,"size","vendor/nlohmann/json.hpp"
