"col0","col1","col2","col3","col4","col5"
"if (...) ... ",2,349,357,"arabic_shape","/home/runner/work/vim/vim/src/arabic.c"
"if (...) ... ",4,359,378,"arabic_shape","/home/runner/work/vim/vim/src/arabic.c"
"if (...) ... ",2,1487,1490,"f_argv","/home/runner/work/vim/vim/src/arglist.c"
"if (...) ... ",2,1493,1496,"f_argv","/home/runner/work/vim/vim/src/arglist.c"
"if (...) ... ",2,1499,1502,"f_argv","/home/runner/work/vim/vim/src/arglist.c"
"if (...) ... ",2,1504,1513,"f_argv","/home/runner/work/vim/vim/src/arglist.c"
"if (...) ... ",1,365,370,"arabic_shape","/home/runner/work/vim/vim/src/arabic.c"
"if (...) ... ",1,372,377,"arabic_shape","/home/runner/work/vim/vim/src/arabic.c"
"if (...) ... ",2,861,864,"ga_concat_len","/home/runner/work/vim/vim/src/alloc.c"
"if (...) ... ",3,385,391,"arabic_shape","/home/runner/work/vim/vim/src/arabic.c"
"if (...) ... ",2,1508,1512,"f_argv","/home/runner/work/vim/vim/src/arglist.c"
"if (...) ... ",2,845,848,"ga_concat","/home/runner/work/vim/vim/src/alloc.c"
"if (...) ... ",2,810,813,"ga_copy_string","/home/runner/work/vim/vim/src/alloc.c"
"if (...) ... ",2,1417,1424,"f_argc","/home/runner/work/vim/vim/src/arglist.c"
"for(...;...;...) ...",3,785,793,"ga_concat_strings","/home/runner/work/vim/vim/src/alloc.c"
"for(...;...;...) ...",5,1348,1392,"arg_all","/home/runner/work/vim/vim/src/arglist.c"
"for(...;...;...) ...",5,1351,1379,"arg_all","/home/runner/work/vim/vim/src/arglist.c"
"if (...) ... ",2,1356,1361,"arg_all","/home/runner/work/vim/vim/src/arglist.c"
"for(...;...;...) ...",3,1363,1378,"arg_all","/home/runner/work/vim/vim/src/arglist.c"
"if (...) ... ",2,1369,1374,"arg_all","/home/runner/work/vim/vim/src/arglist.c"
"switch (...) ... ",14,229,244,"chg_c_laa2f","/home/runner/work/vim/vim/src/arabic.c"
"{ ... }",2,228,228,"chg_c_laa2f","/home/runner/work/vim/vim/src/arabic.c"
"if (...) ... ",2,787,790,"ga_concat_strings","/home/runner/work/vim/vim/src/alloc.c"
"if (...) ... ",2,1383,1386,"arg_all","/home/runner/work/vim/vim/src/arglist.c"
"{ ... }",2,1347,1347,"arg_all","/home/runner/work/vim/vim/src/arglist.c"
"switch (...) ... ",14,200,215,"chg_c_laa2i","/home/runner/work/vim/vim/src/arabic.c"
"{ ... }",2,199,199,"chg_c_laa2i","/home/runner/work/vim/vim/src/arabic.c"
"while (...) ...",3,179,187,"find_achar","/home/runner/work/vim/vim/src/arabic.c"
"if (...) ... ",2,1225,1228,"do_arg_all","/home/runner/work/vim/vim/src/arglist.c"
