"col0","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13","col14"
"llama.cpp",0,0,0,155,118,10,0,0,1,0,1,0,0,"src/models/llama.cpp"
"llama.cpp",0,21,0,417,329,28,0,0,15,0,1,0,0,"src/llama.cpp"
"chat.cpp",2,73,8,3165,2702,229,0,0,19,0,1,0,0,"common/chat.cpp"
"sampling.cpp",3,21,4,601,480,28,0,0,6,0,1,0,0,"common/sampling.cpp"
"sgemm.cpp",9,20,21,2952,2653,140,0,0,7,0,1,0,0,"ggml/src/ggml-cpu/llamafile/sgemm.cpp"
"repack.cpp",0,20,2,6307,4408,1665,0,0,13,0,1,0,0,"ggml/src/ggml-cpu/arch/x86/repack.cpp"
"repack.cpp",18,65,22,2043,1615,125,0,0,13,0,1,0,0,"ggml/src/ggml-cpu/repack.cpp"
"gguf.cpp",0,6,1,270,194,18,0,0,6,0,1,0,0,"examples/gguf/gguf.cpp"
"gguf.cpp",23,90,34,1433,1162,57,0,0,15,0,1,0,0,"ggml/src/gguf.cpp"
"llama-model-loader.cpp",39,3,55,1167,942,44,0,0,6,0,1,0,0,"src/llama-model-loader.cpp"
"llama-quant.cpp",2,9,2,1093,887,113,0,0,13,0,1,0,0,"src/llama-quant.cpp"
"llama-sampling.cpp",19,128,25,2680,1941,472,0,0,16,0,1,0,0,"src/llama-sampling.cpp"
"llama-vocab.cpp",27,52,38,3816,2935,410,0,0,19,0,1,0,0,"src/llama-vocab.cpp"
"test-chat.cpp",1,32,6,2423,2145,486,0,0,9,0,1,0,0,"tests/test-chat.cpp"
"imatrix.cpp",6,12,8,1302,1034,83,0,0,19,0,1,0,0,"tools/imatrix/imatrix.cpp"
"perplexity.cpp",7,20,7,2070,1578,171,0,0,18,0,1,0,0,"tools/perplexity/perplexity.cpp"
"server.cpp",25,7,35,5776,4362,509,0,0,24,0,1,0,0,"tools/server/server.cpp"
"build-info.cpp",0,0,0,4,4,0,0,0,0,0,1,0,0,"_codeql_build_dir/common/build-info.cpp"
"arg.cpp",1,18,3,3158,3014,61,0,0,19,0,1,0,0,"common/arg.cpp"
"chat-parser.cpp",0,0,1,534,461,30,0,0,11,0,1,0,0,"common/chat-parser.cpp"
"common.cpp",0,70,1,1663,1307,141,0,0,32,0,1,0,0,"common/common.cpp"
"console.cpp",0,13,0,504,415,48,0,0,11,0,1,0,0,"common/console.cpp"
"download.cpp",3,23,6,1054,836,83,0,0,18,0,1,0,0,"common/download.cpp"
"json-partial.cpp",2,2,4,307,249,50,0,0,5,0,1,0,0,"common/json-partial.cpp"
"json-schema-to-grammar.cpp",3,7,5,1022,931,27,0,0,11,0,1,0,0,"common/json-schema-to-grammar.cpp"
"llguidance.cpp",0,2,0,254,211,34,0,0,2,0,1,0,0,"common/llguidance.cpp"
"log.cpp",2,13,3,444,328,26,0,0,12,0,1,0,0,"common/log.cpp"
"ngram-cache.cpp",0,11,0,286,234,5,0,0,9,0,1,0,0,"common/ngram-cache.cpp"
"regex-partial.cpp",0,1,0,204,171,25,0,0,4,0,1,0,0,"common/regex-partial.cpp"
"speculative.cpp",1,1,1,648,454,51,0,0,12,0,1,0,0,"examples/speculative/speculative.cpp"
