"col0","col1","col2","col3","col4","col5","col6","col7","col8","col9","col10","col11","col12","col13","col14","col15","col16","col17","col18","col19","col20","col21","col22","col23","col24","col25","col26","col27","col28","col29","col30","col31","col32","col33","col34"
"next","bool",0,9,7,0,6,1104,1112,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1104,1104,"next","src/llama-memory-recurrent.cpp"
"next","bool",0,9,7,0,6,1970,1978,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1970,1970,"next","src/llama-kv-cache.cpp"
"next","bool",0,12,9,0,8,229,240,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,229,229,"next","src/llama-memory-hybrid.cpp"
"next","bool",0,12,9,0,8,284,295,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,284,284,"next","src/llama-kv-cache-iswa.cpp"
"operator!=","bool",1,1,1,0,2,231,231,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,231,231,"operator!=","src/llama-sampling.cpp"
"operator!=","bool",1,3,3,0,2,232,234,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,232,232,"operator!=","examples/convert-llama2c-to-ggml/convert-llama2c-to-ggml.cpp"
"operator==","bool",1,1,1,0,2,230,230,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,230,230,"operator==","src/llama-sampling.cpp"
"operator++","probs_iterator",1,1,1,0,4,234,234,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,234,234,"operator++","src/llama-sampling.cpp"
"operator++","probs_iterator &",0,1,1,0,3,233,233,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,233,233,"operator++","src/llama-sampling.cpp"
"operator*","const float &",0,1,1,0,2,232,232,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,232,232,"operator*","src/llama-sampling.cpp"
"push_back","void",1,10,9,1,9,44,53,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,44,44,"push_back","common/sampling.cpp"
"push_back","void",1,14,12,1,12,53,66,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,53,53,"push_back","src/llama-sampling.cpp"
"fill","void",2,7,7,0,8,3781,3787,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,3781,3781,"fill","tools/mtmd/clip.cpp"
"operator()","void",1,1,1,0,3,190,190,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,190,190,"operator()","common/download.cpp"
"operator()","void",1,3,3,0,3,151,153,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,151,151,"operator()","ggml/src/ggml-backend-reg.cpp"
"operator()","bool",2,3,3,0,2,38,40,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,38,38,"operator()","src/llama-memory-recurrent.cpp"
