fname,ftype,parameters,lines,LOC,comments,curlstart,curlend,nothrow,sideeffect,varargs,startline,endline,function,file
"append_ga_line","void",1,11,10,1,886,895,0,0,0,885,885,"append_ga_line","/home/runner/work/vim/vim/src/alloc.c"
"f_argv","void",2,49,43,1,1475,1522,0,0,0,1474,1474,"f_argv","/home/runner/work/vim/vim/src/arglist.c"
"arabic_shape","int",6,67,53,5,336,395,0,0,0,329,329,"arabic_shape","/home/runner/work/vim/vim/src/arabic.c"
"ga_append","int",2,8,8,0,872,878,0,0,0,871,871,"ga_append","/home/runner/work/vim/vim/src/alloc.c"
"ga_concat_len","void",3,10,10,0,857,865,0,0,0,856,856,"ga_concat_len","/home/runner/work/vim/vim/src/alloc.c"
"ga_concat","void",2,13,12,0,838,849,0,0,0,837,837,"ga_concat","/home/runner/work/vim/vim/src/alloc.c"
"A_is_valid","int",1,4,4,0,315,317,0,1,0,314,314,"A_is_valid","/home/runner/work/vim/vim/src/arabic.c"
"get_arglist_as_rettv","void",3,9,8,0,1461,1468,0,0,0,1460,1460,"get_arglist_as_rettv","/home/runner/work/vim/vim/src/arglist.c"
"f_arglistid","void",2,15,13,0,1441,1454,0,0,0,1440,1440,"f_arglistid","/home/runner/work/vim/vim/src/arglist.c"
"ga_add_string","int",2,7,7,0,824,829,0,0,0,823,823,"ga_add_string","/home/runner/work/vim/vim/src/alloc.c"
"ga_copy_string","int",2,15,13,0,803,816,0,0,0,802,802,"ga_copy_string","/home/runner/work/vim/vim/src/alloc.c"
"A_is_ok","int",1,4,4,0,305,307,0,1,0,304,304,"A_is_ok","/home/runner/work/vim/vim/src/arabic.c"
"f_argidx","void",2,4,4,0,1432,1434,0,0,0,1431,1431,"f_argidx","/home/runner/work/vim/vim/src/arglist.c"
"f_argc","void",2,24,19,3,1403,1425,0,0,0,1402,1402,"f_argc","/home/runner/work/vim/vim/src/arglist.c"
"A_is_iso","int",1,4,4,0,296,298,0,1,0,295,295,"A_is_iso","/home/runner/work/vim/vim/src/arabic.c"
"arabic_combine","int",2,8,8,2,284,288,0,1,0,281,281,"arabic_combine","/home/runner/work/vim/vim/src/arabic.c"
"arabic_maycombine","int",1,9,9,0,267,274,0,1,0,266,266,"arabic_maycombine","/home/runner/work/vim/vim/src/arabic.c"
"can_join","int",2,7,6,0,254,259,0,1,0,253,253,"can_join","/home/runner/work/vim/vim/src/arabic.c"
"ga_concat_strings","char_u *",2,32,28,0,765,795,0,0,0,764,764,"ga_concat_strings","/home/runner/work/vim/vim/src/alloc.c"
"arg_all","char_u *",0,59,48,7,1338,1395,0,0,0,1337,1337,"arg_all","/home/runner/work/vim/vim/src/arglist.c"
"chg_c_laa2f","int",1,24,22,0,225,247,0,1,0,224,224,"chg_c_laa2f","/home/runner/work/vim/vim/src/arabic.c"
"chg_c_laa2i","int",1,24,22,0,196,218,0,1,0,195,195,"chg_c_laa2i","/home/runner/work/vim/vim/src/arabic.c"
