"col0","col1","col2","col3","col4","col5","col6","col7"
"lock",1,"lock()","if (...) ... ",465,465,"download","tools/run/run.cpp"
"lock",1,"lock()","if (...) ... ",465,465,"download","tools/run/run.cpp"
"what",1,"what()","call to fprintf",665,665,"common_params_parse","common/arg.cpp"
"what",1,"what()","call to string_format",337,337,"common_params_parse_ex","common/arg.cpp"
"what",1,"what()","call to string_format",392,392,"common_params_parse_ex","common/arg.cpp"
"what",1,"what()","call to common_log_add",612,612,"common_chat_templates_init","common/chat.cpp"
"what",1,"what()","call to common_log_add",612,612,"common_chat_templates_init","common/chat.cpp"
"what",1,"what()","call to common_log_add",619,619,"common_chat_templates_init","common/chat.cpp"
"what",1,"what()","call to common_log_add",619,619,"common_chat_templates_init","common/chat.cpp"
"what",1,"what()","call to common_log_add",451,451,"common_chat_verify_template","common/chat.cpp"
"what",1,"what()","call to basic_string",379,379,"common_chat_tools_parse_oaicompat","common/chat.cpp"
"what",1,"what()","call to basic_string",270,270,"common_chat_msgs_parse_oaicompat","common/chat.cpp"
"what",1,"what()","call to common_log_add",1051,1051,"common_docker_resolve_model","common/download.cpp"
"what",1,"what()","call to common_log_add",861,861,"common_get_hf_file","common/download.cpp"
"what",1,"what()","call to operator+",890,890,"common_get_hf_file","common/download.cpp"
"what",1,"what()","call to common_log_add",131,131,"common_json_parse","common/json-partial.cpp"
"what",1,"what()","call to fprintf",48,48,"main","examples/simple-chat/simple-chat.cpp"
"what",1,"what()","call to llama_log_internal",424,424,"llama_adapter_lora_init","src/llama-adapter.cpp"
"what",1,"what()","call to llama_log_internal",2755,2755,"llama_state_seq_load_file","src/llama-context.cpp"
"what",1,"what()","call to llama_log_internal",2744,2744,"llama_state_seq_save_file","src/llama-context.cpp"
"what",1,"what()","call to llama_log_internal",2705,2705,"llama_state_save_file","src/llama-context.cpp"
"what",1,"what()","call to llama_log_internal",2694,2694,"llama_state_load_file","src/llama-context.cpp"
"what",1,"what()","call to llama_log_internal",2384,2384,"llama_init_from_model","src/llama-context.cpp"
"what",1,"what()","call to llama_log_internal",1720,1720,"state_seq_set_data","src/llama-context.cpp"
