"operator","optype","binop","assign","condop","condition","lv_rv_conv","constant","cpp","enclosefunc","filepath"
"&","const char *",0,0,0,0,0,0,1,"common_ngram_cache_save","common/ngram-cache.cpp"
"&","const char *",0,0,0,0,0,0,1,"token_to_piece","src/llama-vocab.cpp"
"&","const char *",0,0,0,0,0,0,1,"normalize_prefix","src/llama-vocab.cpp"
"&","const char *",0,0,0,0,0,0,1,"handcrafted_check_kv","tests/test-gguf.cpp"
"&","const char *",0,0,0,0,0,0,1,"save_imatrix_legacy","tools/imatrix/imatrix.cpp"
"&","const char *",0,0,0,0,0,0,1,"perplexity","tools/perplexity/perplexity.cpp"
"&","const char *",0,0,0,0,0,0,1,"save_wav16","tools/tts/tts.cpp"
"&","int",1,0,0,0,0,0,0,"ggml_build_backward_expand","ggml/src/ggml.c"
"&","int",1,0,0,0,0,0,0,"ggml_opt_step_sgd","ggml/src/ggml.c"
"&","int",1,0,0,0,0,0,0,"ggml_opt_step_adamw","ggml/src/ggml.c"
"&","int",1,0,0,0,0,0,0,"ggml_validate_row_data","ggml/src/ggml-quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_iq4_xs_q8_K_generic","ggml/src/ggml-cpu/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_iq4_nl_q8_0_generic","ggml/src/ggml-cpu/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_iq1_m_q8_K_generic","ggml/src/ggml-cpu/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_iq1_s_q8_K_generic","ggml/src/ggml-cpu/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_iq3_s_q8_K_generic","ggml/src/ggml-cpu/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_iq2_s_q8_K_generic","ggml/src/ggml-cpu/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_iq2_xs_q8_K_generic","ggml/src/ggml-cpu/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_q6_K_q8_K_generic","ggml/src/ggml-cpu/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_q2_K_q8_K_generic","ggml/src/ggml-cpu/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_tq2_0_q8_K_generic","ggml/src/ggml-cpu/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_mxfp4_q8_0_generic","ggml/src/ggml-cpu/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_q5_1_q8_1_generic","ggml/src/ggml-cpu/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_q5_0_q8_0_generic","ggml/src/ggml-cpu/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_q4_1_q8_1_generic","ggml/src/ggml-cpu/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_q4_0_q8_0_generic","ggml/src/ggml-cpu/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_iq4_xs_q8_K","ggml/src/ggml-cpu/arch/x86/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_iq4_nl_q8_0","ggml/src/ggml-cpu/arch/x86/quants.c"
"&","int",1,0,0,0,0,0,0,"ggml_vec_dot_iq1_m_q8_K","ggml/src/ggml-cpu/arch/x86/quants.c"
