"col0","col1","col2","col3","col4"
"result",2013,2013,"Function test_create_agent_async_invoke_multiple_middleware","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_middleware_agent.py"
"result",2560,2560,"Function test_create_agent_sync_invoke_with_mixed_middleware","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_middleware_agent.py"
"content",70,70,"Function test_detect_credit_card_with_spaces","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_pii_middleware.py"
"tool_calls",96,96,"Function test_sync_basic_selection","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/middleware/test_llm_tool_selection.py"
"output",83,83,"Function test_input_messages_async","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_history.py"
"output",325,325,"Function test_chroma_with_persistence_with_client_settings","/home/runner/work/langchain/langchain/libs/partners/chroma/tests/integration_tests/test_vectorstores.py"
"matches",216,216,"Function test_bare_domain_without_path_not_detected","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_pii_middleware.py"
"run_id",2685,2685,"Function test_custom_event_nested","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_runnable_events_v2.py"
"response",416,420,"Function wrap_tool_call","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_on_tool_call_middleware.py"
"response",528,528,"Function intercepting_outer","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/middleware/test_wrap_tool_call_decorator.py"
"documents",7,7,"Function test_llm_chain_extractor","/home/runner/work/langchain/langchain/libs/langchain/tests/unit_tests/retrievers/document_compressors/test_chain_extract.py"
"foo",2303,2303,"Function test_structured_tool_direct_init","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/test_tools.py"
"middleware",1374,1374,"Function test_runtime_injected_into_middleware","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_middleware_agent.py"
"post_slash",35,40,"Function parse_dependency_string","/home/runner/work/langchain/langchain/libs/cli/langchain_cli/utils/git.py"
"last_exception",266,266,"Function retry_with_tracking","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/middleware/test_wrap_model_call_decorator.py"
"CustomChatModel",5672,5672,"Function test_pydantic_protected_namespaces","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_runnable.py"
"result_sync",156,156,"Function test_both_sync_and_async_middleware_uses_appropriate_path","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_sync_async_tool_wrapper_composition.py"
"result_async",192,194,"Function test_both_sync_and_async_middleware_uses_appropriate_path_async","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_sync_async_tool_wrapper_composition.py"
"_MisAnnotatedTool",138,138,"Function test_misannotated_base_tool_raises_error","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/test_tools.py"
"_ForwardRefAnnotatedTool",158,158,"Function test_forward_ref_annotated_base_tool_accepted","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/test_tools.py"
