"col0","col1","col2","col3","col4","col5","col6","col7","col8"
"index",1,2,2,"method ChatPromptTemplate.__getitem__",1256,1256,"Function __getitem__","/home/runner/work/langchain/langchain/libs/core/langchain_core/prompts/chat.py"
"index",1,2,2,"method ChatPromptTemplate.__getitem__",1259,1259,"Function __getitem__","/home/runner/work/langchain/langchain/libs/core/langchain_core/prompts/chat.py"
"tools",1,2,2,"method Agent._validate_tools",872,872,"Function _validate_tools","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/agents/agent.py"
"tools",1,2,2,"method ReActDocstoreAgent.create_prompt",53,53,"Function create_prompt","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/agents/react/base.py"
"tools",1,2,2,"method ReActTextWorldAgent.create_prompt",148,148,"Function create_prompt","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/agents/react/base.py"
"tools",1,2,2,"method StructuredChatAgent._validate_tools",74,74,"Function _validate_tools","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/agents/structured_chat/base.py"
"tools",1,2,2,"method SelfAskWithSearchAgent.create_prompt",49,49,"Function create_prompt","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/agents/self_ask_with_search/base.py"
"tools",2,2,3,"method _TokenCountingChatModel.get_num_tokens_from_messages",24,28,"Function get_num_tokens_from_messages","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_context_editing_middleware.py"
"tools",2,2,3,"method FakeTokenCountingModel.get_num_tokens_from_messages",665,669,"Function get_num_tokens_from_messages","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/messages/test_utils.py"
"tools",2,3,4,"method BaseSingleActionAgent.from_llm_and_tools",139,145,"Function from_llm_and_tools","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/agents/agent.py"
"items",1,2,2,"method DocumentIndex.upsert",514,514,"Function upsert","/home/runner/work/langchain/langchain/libs/core/langchain_core/indexing/base.py"
"config",0,1,1,"function _load_llm_bash_chain",254,254,"Function _load_llm_bash_chain","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/chains/loading.py"
"config",0,1,1,"function _load_pal_chain",355,355,"Function _load_pal_chain","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/chains/loading.py"
"config",0,1,1,"function _load_sql_database_chain",416,416,"Function _load_sql_database_chain","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/chains/loading.py"
"config",0,2,2,"function pytest_recording_configure",35,35,"Function pytest_recording_configure","/home/runner/work/langchain/langchain/libs/partners/groq/tests/conftest.py"
"config",0,2,2,"function pytest_recording_configure",35,35,"Function pytest_recording_configure","/home/runner/work/langchain/langchain/libs/partners/anthropic/tests/conftest.py"
"config",0,2,2,"function pytest_recording_configure",44,44,"Function pytest_recording_configure","/home/runner/work/langchain/langchain/libs/partners/openai/tests/conftest.py"
"config",1,1,2,"method BasePromptTemplate.get_input_schema",132,132,"Function get_input_schema","/home/runner/work/langchain/langchain/libs/core/langchain_core/prompts/base.py"
"config",1,1,2,"method BaseConversationalRetrievalChain.get_input_schema",117,120,"Function get_input_schema","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/chains/conversational_retrieval/base.py"
"config",1,1,2,"method BaseCombineDocumentsChain.get_input_schema",51,54,"Function get_input_schema","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/chains/combine_documents/base.py"
"config",1,1,2,"method BaseCombineDocumentsChain.get_output_schema",61,64,"Function get_output_schema","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/chains/combine_documents/base.py"
"config",1,1,2,"method AnalyzeDocumentChain.get_input_schema",246,249,"Function get_input_schema","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/chains/combine_documents/base.py"
"config",1,1,2,"method Runnable.get_input_schema",370,373,"Function get_input_schema","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",1,1,2,"method Runnable.get_output_schema",448,451,"Function get_output_schema","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",1,1,2,"method RunnableParallel.get_output_schema",3730,3732,"Function get_output_schema","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",1,1,2,"method RunnableGenerator.get_input_schema",4216,4216,"Function get_input_schema","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",1,1,2,"method RunnableGenerator.get_output_schema",4256,4258,"Function get_output_schema","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",1,1,2,"method RunnableLambda.get_output_schema",4576,4578,"Function get_output_schema","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",1,1,2,"method Chain.get_input_schema",112,115,"Function get_input_schema","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/chains/base.py"
"config",1,1,2,"method Chain.get_output_schema",120,123,"Function get_output_schema","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/chains/base.py"
"config",1,1,2,"method RunnableWithMessageHistory.get_input_schema",384,384,"Function get_input_schema","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/history.py"
"config",1,1,2,"method RunnableWithMessageHistory.get_output_schema",411,413,"Function get_output_schema","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/history.py"
"config",1,1,2,"method MapRerankDocumentsChain.get_output_schema",95,98,"Function get_output_schema","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/chains/combine_documents/map_rerank.py"
"config",1,1,2,"method MyRunnable.my_custom_function_w_config",44,47,"Function my_custom_function_w_config","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_configurable.py"
"config",1,2,2,"method MyOtherRunnable.my_other_custom_function_w_config",70,70,"Function my_other_custom_function_w_config","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_configurable.py"
"config",2,2,3,"method _ConfigurableModel.astream_log",820,834,"Function astream_log","/home/runner/work/langchain/langchain/libs/langchain_v1/langchain/chat_models/base.py"
"config",2,2,3,"method _ConfigurableModel.astream_log",837,851,"Function astream_log","/home/runner/work/langchain/langchain/libs/langchain_v1/langchain/chat_models/base.py"
"config",2,2,3,"method _ConfigurableModel.astream_log",875,889,"Function astream_log","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/chat_models/base.py"
"config",2,2,3,"method _ConfigurableModel.astream_log",892,906,"Function astream_log","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/chat_models/base.py"
"config",2,2,3,"method Runnable.batch_as_completed",914,921,"Function batch_as_completed","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",2,2,3,"method Runnable.batch_as_completed",924,931,"Function batch_as_completed","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",2,2,3,"method Runnable.abatch_as_completed",1047,1054,"Function abatch_as_completed","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",2,2,3,"method Runnable.abatch_as_completed",1057,1064,"Function abatch_as_completed","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",2,2,3,"method Runnable.astream_log",1169,1183,"Function astream_log","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",2,2,3,"method Runnable.astream_log",1186,1200,"Function astream_log","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",2,2,3,"method RunnableEachBase.astream_events",5237,5242,"Function astream_events","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",2,2,3,"method RunnableBindingBase.batch_as_completed",5600,5607,"Function batch_as_completed","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",2,2,3,"method RunnableBindingBase.batch_as_completed",5610,5617,"Function batch_as_completed","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",2,2,3,"method RunnableBindingBase.abatch_as_completed",5652,5659,"Function abatch_as_completed","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",2,2,3,"method RunnableBindingBase.abatch_as_completed",5662,5669,"Function abatch_as_completed","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"config",2,2,3,"function _astream_log_implementation",617,626,"Function _astream_log_implementation","/home/runner/work/langchain/langchain/libs/core/langchain_core/tracers/log_stream.py"
"config",2,2,3,"function _astream_log_implementation",630,639,"Function _astream_log_implementation","/home/runner/work/langchain/langchain/libs/core/langchain_core/tracers/log_stream.py"
"config",2,2,3,"method MyRunnable.invoke",36,38,"Function invoke","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_configurable.py"
"config",2,2,3,"method MyOtherRunnable.invoke",62,64,"Function invoke","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_configurable.py"
"config",2,2,3,"method test_runnable_get_graph_with_invalid_input_type.InvalidInputTypeRunnable.invoke",484,489,"Function invoke","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_graph.py"
"config",2,2,3,"method test_runnable_get_graph_with_invalid_output_type.InvalidOutputTypeRunnable.invoke",509,514,"Function invoke","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_graph.py"
"config",2,2,3,"method StreamingRunnable.invoke",2135,2137,"Function invoke","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_runnable_events_v2.py"
"config",2,2,3,"method StreamingRunnable.stream",2143,2148,"Function stream","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_runnable_events_v2.py"
"config",2,2,3,"method FakeRunnable.invoke",181,186,"Function invoke","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_runnable.py"
"config",2,2,3,"method FakeRunnableSerializable.invoke",194,199,"Function invoke","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_runnable.py"
"config",2,2,3,"method test_seq_batch_return_exceptions.ControlledExceptionRunnable.invoke",4177,4179,"Function invoke","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_runnable.py"
"config",2,2,3,"method test_seq_abatch_return_exceptions.ControlledExceptionRunnable.invoke",4318,4320,"Function invoke","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_runnable.py"
"config",2,2,3,"method test_default_transform_with_dicts.CustomRunnable.invoke",5504,5506,"Function invoke","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_runnable.py"
"config",2,2,3,"method test_default_atransform_with_dicts.CustomRunnable.invoke",5526,5528,"Function invoke","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_runnable.py"
"text",0,1,1,"function test_custom_token_counting.token_encoder",71,71,"Function token_encoder","/home/runner/work/langchain/langchain/libs/partners/openai/tests/unit_tests/llms/test_base.py"
"text",0,1,1,"function test_custom_token_counting.token_encoder",242,242,"Function token_encoder","/home/runner/work/langchain/langchain/libs/partners/mistralai/tests/unit_tests/test_chat_models.py"
"text",0,1,1,"function test_custom_token_counting.token_encoder",734,734,"Function token_encoder","/home/runner/work/langchain/langchain/libs/partners/openai/tests/unit_tests/chat_models/test_base.py"
"text",1,2,2,"method FakeEmbeddings.embed_query",28,28,"Function embed_query","/home/runner/work/langchain/langchain/libs/langchain/tests/unit_tests/chains/test_hyde.py"
"text",1,2,2,"method FakeEmbeddings.embed_query",32,32,"Function embed_query","/home/runner/work/langchain/langchain/libs/langchain/tests/integration_tests/cache/fake_embeddings.py"
"text",1,2,2,"method FakeEmbeddings.embed_query",66,66,"Function embed_query","/home/runner/work/langchain/langchain/libs/core/langchain_core/embeddings/fake.py"
"text",1,2,2,"method OpenAIFunctionsAgentOutputParser.parse",96,96,"Function parse","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/agents/output_parsers/openai_functions.py"
"text",1,2,2,"method JsonOutputFunctionsParser.parse",145,145,"Function parse","/home/runner/work/langchain/langchain/libs/core/langchain_core/output_parsers/openai_functions.py"
"text",1,2,2,"method OpenAIToolsAgentOutputParser.parse",69,69,"Function parse","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/agents/output_parsers/openai_tools.py"
"text",1,2,2,"method JsonOutputToolsParser.parse",206,206,"Function parse","/home/runner/work/langchain/langchain/libs/core/langchain_core/output_parsers/openai_tools.py"
"text",1,2,2,"method test_base_transform_output_parser.StrInvertCase.parse",59,59,"Function parse","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/output_parsers/test_base_parsers.py"
"text",1,2,2,"method MockEmbeddings.embed_query",29,29,"Function embed_query","/home/runner/work/langchain/langchain/libs/langchain/tests/unit_tests/embeddings/test_caching.py"
"text",1,2,2,"method ToolsAgentOutputParser.parse",114,114,"Function parse","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/agents/output_parsers/tools.py"
"value",0,1,1,"function test_convert_union_type.magic_function",1050,1050,"Function magic_function","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/utils/test_function_calling.py"
"value",1,2,3,"function _astream_log_implementation",617,626,"Function _astream_log_implementation","/home/runner/work/langchain/langchain/libs/core/langchain_core/tracers/log_stream.py"
"value",1,2,3,"function _astream_log_implementation",630,639,"Function _astream_log_implementation","/home/runner/work/langchain/langchain/libs/core/langchain_core/tracers/log_stream.py"
"code",0,1,1,"function test_custom_tool.execute_code",1081,1081,"Function execute_code","/home/runner/work/langchain/langchain/libs/partners/openai/tests/integration_tests/chat_models/test_responses_api.py"
"input",0,1,1,"function test_middleware_can_modify_tools.tool_a",61,61,"Function tool_a","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_middleware_tools.py"
"input",0,1,1,"function test_middleware_can_modify_tools.tool_b",66,66,"Function tool_b","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_middleware_tools.py"
"input",0,1,1,"function test_middleware_can_modify_tools.tool_c",71,71,"Function tool_c","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_middleware_tools.py"
"input",0,1,1,"function test_unknown_tool_raises_error.known_tool",110,110,"Function known_tool","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_middleware_tools.py"
"input",0,1,1,"function test_unknown_tool_raises_error.unknown_tool",115,115,"Function unknown_tool","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_middleware_tools.py"
"input",0,1,1,"function test_empty_tools_list_is_valid.some_tool",192,192,"Function some_tool","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_middleware_tools.py"
"input",0,1,1,"function test_tools_preserved_across_multiple_middleware.tool_a",225,225,"Function tool_a","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_middleware_tools.py"
"input",0,1,1,"function test_tools_preserved_across_multiple_middleware.tool_b",230,230,"Function tool_b","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_middleware_tools.py"
"input",0,1,1,"function test_tools_preserved_across_multiple_middleware.tool_c",235,235,"Function tool_c","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_middleware_tools.py"
"input",0,1,1,"function test_middleware_with_additional_tools.base_tool",284,284,"Function base_tool","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_middleware_tools.py"
"input",0,1,1,"function test_middleware_with_additional_tools.middleware_tool",289,289,"Function middleware_tool","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_middleware_tools.py"
"input",0,1,1,"function test_tool_node_not_accepted.some_tool",325,325,"Function some_tool","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/test_middleware_tools.py"
"input",0,1,1,"function test_tool_retry_custom_exception_filter.custom_error_tool",495,495,"Function custom_error_tool","/home/runner/work/langchain/langchain/libs/langchain_v1/tests/unit_tests/agents/middleware/test_tool_retry.py"
"input",1,2,3,"method _ConfigurableModel.astream_log",820,834,"Function astream_log","/home/runner/work/langchain/langchain/libs/langchain_v1/langchain/chat_models/base.py"
"input",1,2,3,"method _ConfigurableModel.astream_log",837,851,"Function astream_log","/home/runner/work/langchain/langchain/libs/langchain_v1/langchain/chat_models/base.py"
"input",1,2,3,"method _ConfigurableModel.astream_log",875,889,"Function astream_log","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/chat_models/base.py"
"input",1,2,3,"method _ConfigurableModel.astream_log",892,906,"Function astream_log","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/chat_models/base.py"
"input",1,2,3,"method Runnable.astream_log",1169,1183,"Function astream_log","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"input",1,2,3,"method Runnable.astream_log",1186,1200,"Function astream_log","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"input",1,2,3,"method RunnableEachBase.astream_events",5237,5242,"Function astream_events","/home/runner/work/langchain/langchain/libs/core/langchain_core/runnables/base.py"
"input",1,2,3,"method StreamingRunnable.invoke",2135,2137,"Function invoke","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_runnable_events_v2.py"
"input",1,2,3,"method StreamingRunnable.stream",2143,2148,"Function stream","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_runnable_events_v2.py"
"input",1,2,3,"method test_seq_batch_return_exceptions.ControlledExceptionRunnable.invoke",4177,4179,"Function invoke","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_runnable.py"
"input",1,2,3,"method test_seq_abatch_return_exceptions.ControlledExceptionRunnable.invoke",4318,4320,"Function invoke","/home/runner/work/langchain/langchain/libs/core/tests/unit_tests/runnables/test_runnable.py"
"input",2,2,4,"method JsonSchemaEvaluator._evaluate_strings",88,94,"Function _evaluate_strings","/home/runner/work/langchain/langchain/libs/langchain/langchain_classic/evaluation/parsing/json_schema.py"
"next",2,3,3,"method BaseCumulativeTransformOutputParser._diff",107,111,"Function _diff","/home/runner/work/langchain/langchain/libs/core/langchain_core/output_parsers/transform.py"
"stop",2,2,4,"method FakeListLLM._call",24,30,"Function _call","/home/runner/work/langchain/langchain/libs/langchain/tests/unit_tests/agents/test_agent_async.py"
"stop",2,2,4,"method FakeListLLM._call",44,50,"Function _call","/home/runner/work/langchain/langchain/libs/core/langchain_core/language_models/fake.py"
"stop",2,2,4,"method FakeListLLM._call",53,59,"Function _call","/home/runner/work/langchain/langchain/libs/langchain/tests/unit_tests/agents/test_agent.py"
