"col0","col1","col2","col3","col4","col5","col6"
"argcount",0,3,1396,1396,"ret_void","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1403,1403,"ret_any","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1410,1410,"ret_bool","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1417,1417,"ret_number_bool","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1424,1424,"ret_number","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1431,1431,"ret_float","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1438,1438,"ret_string","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1445,1445,"ret_list_any","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1452,1452,"ret_list_number","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1460,1460,"ret_list_string","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1468,1468,"ret_list_dict_any","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1476,1476,"ret_list_items","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1484,1484,"ret_list_string_items","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1492,1492,"ret_list_regionpos","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1500,1500,"ret_tuple_any","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1507,1507,"ret_dict_any","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1526,1526,"ret_dict_number","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1533,1533,"ret_dict_string","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1540,1540,"ret_blob","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1547,1547,"ret_func_any","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1554,1554,"ret_func_unknown","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1561,1561,"ret_channel","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",0,3,1568,1568,"ret_job","/home/runner/work/vim/vim/src/evalfunc.c"
"argcount",2,3,525,525,"vterm_state_getpen","/home/runner/work/vim/vim/src/libvterm/src/pen.c"
"wp",0,2,103,103,"get_win_number","/home/runner/work/vim/vim/src/proto/window.pro"
"len",1,2,35,35,"fname_case","/home/runner/work/vim/vim/src/proto/os_unix.pro"
"len",2,3,17,17,"vim_strnicmp","/home/runner/work/vim/vim/src/proto/strings.pro"
